Topic,Words,Frequency,Timestamp
35,"будут достигнуты, демилитаризации, достигнуты, будут выполнены, демилитаризации украины",2,2022-12-21 00:00:00+00:00
37,"мобильной связи, мобильный, мобильной, работает, будут работать",1,2022-12-21 00:00:00+00:00
38,"ввели санкции, новые санкции, британских, санкциях, санкции",1,2022-12-21 00:00:00+00:00
39,"российскую нефть, российской нефти, российского газа, нефть, россии россия",5,2022-12-21 00:00:00+00:00
40,"военнослужащие, украинцев, украине, новые правила, мобилизации",2,2022-12-21 00:00:00+00:00
42,"дискредитацию, дискредитации, редакции, журналистов, газеты",1,2022-12-21 00:00:00+00:00
43,"белоруссией, белоруссия, белоруссии, беларусь, белорусских",16,2022-12-21 00:00:00+00:00
45,"насилия, уголовном, убийство, полицию, прокуратуре",2,2022-12-21 00:00:00+00:00
46,"новые регионы, границах, новых территорий, это россия, регионы",1,2022-12-21 00:00:00+00:00
47,"си цзиньпином, россия китай, цзиньпином, россии китая, цзиньпин",2,2022-12-21 00:00:00+00:00
48,"власти это, казахстан, казахстана, обсуждали, получилось",2,2022-12-21 00:00:00+00:00
50,"поздравил, поздравлении, российский лидер, белоруссия, благодаря",1,2022-12-21 00:00:00+00:00
51,"беспилотных, сил украины, военной операции, украинских, обороны российской",21,2022-12-21 00:00:00+00:00
53,"российского газа, цен нефть, природного газа, газ, поставками",4,2022-12-21 00:00:00+00:00
54,"россия планирует, украина new_militarycolumnist, россия хочет, национальной безопасности, данилов",10,2022-12-21 00:00:00+00:00
57,"военкоров, военкоры, журналисты, бойцы, военных",5,2022-12-21 00:00:00+00:00
58,"российскую нефть, совещании, премьер министр, эмбарго, потолка цен",3,2022-12-21 00:00:00+00:00
61,"перемирие, перемирии, перемирия, прекращения огня, поручил",16,2022-12-21 00:00:00+00:00
63,"эрдоган, договориться, перемирии, обещал, перемирия",2,2022-12-21 00:00:00+00:00
66,"фейки, иноагент, фейков, активистов, активисты",3,2022-12-21 00:00:00+00:00
67,"спортсменов, бойца, всё таки, международной арене, выглядит",1,2022-12-21 00:00:00+00:00
70,"эфире, вещает, трансляция, трансляцию, соловьёв live",3,2022-12-21 00:00:00+00:00
71,"минфин, сроком, гривен, правительство, украине",1,2022-12-21 00:00:00+00:00
76,"отношения россии, армения, армении, российских чиновников, секретарь рф",2,2022-12-21 00:00:00+00:00
78,"российских активов, россии украине, власти страны, украине заявил, эстонии",1,2022-12-21 00:00:00+00:00
79,"блогеров, блогера, блогер, цензура, youtube",4,2022-12-21 00:00:00+00:00
80,"польши, поляки, польша, поляков, польшу",2,2022-12-21 00:00:00+00:00
82,"журналисты, военные, артистов, военных, артисты",1,2022-12-21 00:00:00+00:00
83,"сербия, сербии, экстремисты, очередным, протеста",4,2022-12-21 00:00:00+00:00
86,"украиной сша, военной помощи, сша могут, крымом, передать украине",4,2022-12-21 00:00:00+00:00
88,"провел встречу, бизнесмен, обсудил, бойцов, бойцы",1,2022-12-21 00:00:00+00:00
89,"подробнее сайте, рисков, сайте, экономических, россии заседании",1,2022-12-21 00:00:00+00:00
90,"госуслуги, электронный, министр цифрового, доступна, наличие",5,2022-12-21 00:00:00+00:00
97,"россиян, опрошенных, респондентов, опроса, справедливая россия",1,2022-12-21 00:00:00+00:00
101,"героям, кремлём, новых, героев, оказали",2,2022-12-21 00:00:00+00:00
103,"заместителей, заместителя, первого заместителя, зампредседателя, заместителя руководителя",1,2022-12-21 00:00:00+00:00
118,"отставку, отставка, отставке, уйти, уходит",1,2022-12-21 00:00:00+00:00
119,"оружия украину, германия, танков, немецкие, танки",5,2022-12-21 00:00:00+00:00
-1,"украину, конфликта, власти, война, россию",664,2023-01-20 00:00:00+00:00
0,"спецоперация, российские войска, украинские войска, украинских войск, украинских военных",73,2023-01-20 00:00:00+00:00
1,"21 февраля, послании, проведет, послание, состоится",66,2023-01-20 00:00:00+00:00
2,"оружия украине, дмитрий прокомментировал, вооружений, оружием, дмитрий заявил",64,2023-01-20 00:00:00+00:00
3,"выплат, выплаты, правительством, получат, новых регионов",38,2023-01-20 00:00:00+00:00
4,"telegram, телеграм, мессенджер, телеграма, запретят",5,2023-01-20 00:00:00+00:00
5,"угрожают, вооружения, поставки вооружений, вооружение, политикам",36,2023-01-20 00:00:00+00:00
6,"пообщались, лидеры, обсудили, ребята, военнослужащие",11,2023-01-20 00:00:00+00:00
7,"торжественно, глава государства, награждены, главы государства, церемония",6,2023-01-20 00:00:00+00:00
9,"отсрочки, персональных данных, поступило, проверок, ведомством",9,2023-01-20 00:00:00+00:00
10,"мигрантами, мигрантов, мигранты, мигрантам, миграционной политики",2,2023-01-20 00:00:00+00:00
11,"состоялся телефонный, провел телефонный, поговорил, обсудил, обсудили",5,2023-01-20 00:00:00+00:00
12,"конфликта украине, украине сша, конфликта, операции украине, вооруженного",9,2023-01-20 00:00:00+00:00
13,"уволил, закрыли, прокуратуре, лет лишения, обвинили",2,2023-01-20 00:00:00+00:00
14,"блогер, стыдно, солдатами, военными, террористов",2,2023-01-20 00:00:00+00:00
15,"дронов, иран, израиль, власти, израиле",3,2023-01-20 00:00:00+00:00
16,"павлу зарубину, рассказал, телеканале россия, напомнил, событий которые",2,2023-01-20 00:00:00+00:00
17,"переговоров россии, никаких, переговорах украиной, переговоров украиной, переговоры рф",16,2023-01-20 00:00:00+00:00
18,"власти, россию, неравнодушных, русские, россии должны",6,2023-01-20 00:00:00+00:00
19,"наш канал, телеграм канал, подписывайтесь, каналов, каналы",6,2023-01-20 00:00:00+00:00
20,"переговорам украине, переговорам, спикера, спикер совета, спикер",7,2023-01-20 00:00:00+00:00
22,"молдавии, власти, власть, протестов, отставку",16,2023-01-20 00:00:00+00:00
25,"благодаря, воинам, благодарность, дорогие друзья, наших бойцов",5,2023-01-20 00:00:00+00:00
26,"армении, пашиняна, армения, интересов россии, миротворцев",2,2023-01-20 00:00:00+00:00
27,"си цзиньпином, россия китай, россии китая, си цзиньпин, цзиньпин",1,2023-01-20 00:00:00+00:00
28,"отставку, кадровые перестановки, увольнения, отставке, коррупции",6,2023-01-20 00:00:00+00:00
29,"беспилотников, регионам, глава государства, правительству, беспилотники",2,2023-01-20 00:00:00+00:00
30,"нежелательной, антироссийскую, запретить, власти рф, закрыли",8,2023-01-20 00:00:00+00:00
32,"кремлём, покушение, мечты, нацелены, рассказывают",1,2023-01-20 00:00:00+00:00
33,"совета безопасности, совете безопасности, совет безопасности, лицемерие, война",2,2023-01-20 00:00:00+00:00
35,"это необходимо, начала спецоперации, необходимо, нужно, спецоперация",2,2023-01-20 00:00:00+00:00
36,"назначил, секретаря россии, замсекретаря, назначен, помощника",14,2023-01-20 00:00:00+00:00
37,"интернет, сети интернет, интернета, мобильный, ограничении",1,2023-01-20 00:00:00+00:00
38,"пакет санкций, санкции, санкций отношении, санкций, санкции против",5,2023-01-20 00:00:00+00:00
40,"мобилизации, военнослужащим, военным, украинцев, бойцам",2,2023-01-20 00:00:00+00:00
41,"ходе визита, спортивные, корея, посетил, кореи",1,2023-01-20 00:00:00+00:00
42,"заблокированы, заблокировал, блокировать, заблокировать, сайты",8,2023-01-20 00:00:00+00:00
43,"учения, белоруссия, вооруженных сил, учений, белоруссии",2,2023-01-20 00:00:00+00:00
45,"обвиняют, происходящее, парней, напали, виноваты",17,2023-01-20 00:00:00+00:00
48,"казахстана, казахстан, казахстане, власти страны, внешней политики",2,2023-01-20 00:00:00+00:00
50,"лукашенко, встретится, обсудят, александр лукашенко, заявил встрече",12,2023-01-20 00:00:00+00:00
51,"беспилотных, вооруженных сил, сил российской, обороны российской, уничтожены",6,2023-01-20 00:00:00+00:00
53,"цен нефть, российской нефти, нефть, российским компаниям, нефтью",2,2023-01-20 00:00:00+00:00
54,"секретарь снбо, готовится, мобилизации, украина new_militarycolumnist, будут делать",9,2023-01-20 00:00:00+00:00
56,"российский лидер, сирию, сирия, землетрясения, содействие",3,2023-01-20 00:00:00+00:00
57,"посмотреть, патриотизма, предстоящего, журналист, передовой",1,2023-01-20 00:00:00+00:00
60,"youtube, безопасного интернета, ютуб, заблокировать, блокировать",1,2023-01-20 00:00:00+00:00
66,"иноагентов, иноагенты, пропаганду, оппозиционеров, фейки",3,2023-01-20 00:00:00+00:00
68,"пленарном заседании, депутата, пленарном, видео, парламент",1,2023-01-20 00:00:00+00:00
69,"ядерного оружия, ядерное оружие, ядерное, ядерный, ядерных",1,2023-01-20 00:00:00+00:00
70,"вещает, трансляцию, ведущий, вещание, эфир",4,2023-01-20 00:00:00+00:00
71,"тарифов, правительство, премьер министр, финансировать, зарплаты",3,2023-01-20 00:00:00+00:00
79,"youtube, ютуб, блогеров, русофобию, каналов",5,2023-01-20 00:00:00+00:00
80,"польша, польши, поляки, угрозой, поляков",3,2023-01-20 00:00:00+00:00
83,"санкциям, антироссийским, давлению, говорили, сказать",1,2023-01-20 00:00:00+00:00
86,"ракеты, украину, ракетами, отказа, ракет",1,2023-01-20 00:00:00+00:00
90,"министр цифрового, приложение, цифрового развития, появиться, смогут",1,2023-01-20 00:00:00+00:00
93,"заключенных, разъяснил, осуществляется, боевых действиях, боевых",1,2023-01-20 00:00:00+00:00
94,"google, youtube, рекламы, фейки, разблокировать",1,2023-01-20 00:00:00+00:00
96,"рабочей группы, ветеранов, ветераны, рабочая группа, военнослужащих",2,2023-01-20 00:00:00+00:00
97,"доверяют, уровень доверия, опрошенных, доверия, доверии",2,2023-01-20 00:00:00+00:00
98,"отношения россии, отношений рф, отреагировали, российско американских, словах",1,2023-01-20 00:00:00+00:00
100,"грузию, грузия, грузии, оппозиции, оппозиция",1,2023-01-20 00:00:00+00:00
102,"зампред рф, приоритетной, новых регионах, речь идет, поддержке",1,2023-01-20 00:00:00+00:00
103,"освободили, освобожден, освобождён, увольнение, уволен",4,2023-01-20 00:00:00+00:00
107,"частичной мобилизации, мобилизации, мобилизация, мобилизовать, призыва",6,2023-01-20 00:00:00+00:00
108,"никакой, никаких, обсуждается, обсуждают, обсуждает",2,2023-01-20 00:00:00+00:00
111,"генпрокурора, генеральной прокуратуры, соблюдением, поддерживает, правопорядка",1,2023-01-20 00:00:00+00:00
116,"северный поток, северного потока, северных потоков, северных потоках, терактов",7,2023-01-20 00:00:00+00:00
119,"танков, танки, украину, вооружения, поставках",9,2023-01-20 00:00:00+00:00
-1,"украину, украинских, власти, украина, обороны",731,2023-02-19 00:00:00+00:00
0,"спецоперация, украинских войск, украинских, военные, украинские",72,2023-02-19 00:00:00+00:00
1,"экстренное заседание, совещание, совещание членами, совета безопасности, заседание",83,2023-02-19 00:00:00+00:00
2,"арестовать, дмитрий заявил, президенты, сша хотят, настанет",21,2023-02-19 00:00:00+00:00
3,"министерства обороны, минобороны рф, обороны рф, правительства рф, обеспечению",16,2023-02-19 00:00:00+00:00
4,"telegram россии, мессенджеры, мессенджер, telegram, ограничения",2,2023-02-19 00:00:00+00:00
5,"дискредитацию, штрафы, дискредитации, штрафа, грозит",21,2023-02-19 00:00:00+00:00
6,"патриотического, патриотических, молодежью, совещание, инструкторов",17,2023-02-19 00:00:00+00:00
7,"героя россии, гордимся, героями, поздравляю, поздравляем",6,2023-02-19 00:00:00+00:00
8,"переговоров россии, переговорах, переговоров, переговоры, сирия",2,2023-02-19 00:00:00+00:00
11,"состоялся телефонный, переговорах, переговоров, поговорил, россии турции",4,2023-02-19 00:00:00+00:00
12,"боевых действиях, американским, ситуация, конфликта, войне",3,2023-02-19 00:00:00+00:00
13,"коррупции, скандалов, имущества, владеет, кредитов",5,2023-02-19 00:00:00+00:00
14,"обратились, дискредитацию, экстремизму, просят, реагировать",5,2023-02-19 00:00:00+00:00
16,"интервью павлу, эксклюзивном интервью, интервью, телеканале россия, павлу зарубину",7,2023-02-19 00:00:00+00:00
17,"переговоров россии, отсутствуют, россиянам, никакого, переговоры рф",8,2023-02-19 00:00:00+00:00
18,"русские, русское, российской империи, русь, русских",3,2023-02-19 00:00:00+00:00
19,"подписчиков, каналам, поделиться, каналов, каналы",7,2023-02-19 00:00:00+00:00
20,"нужно, послание, должны, спикера, послания",8,2023-02-19 00:00:00+00:00
21,"ветераны россии, солдата, памятника, ветеранами, церемонию",11,2023-02-19 00:00:00+00:00
22,"молдавии, власти, ситуацию, протесты, протестов",14,2023-02-19 00:00:00+00:00
23,"пострадавших, обстрелов, пострадала, обстрела, ранены",3,2023-02-19 00:00:00+00:00
24,"контрактников, провёл совещание, совещание, мобилизации, контракту",6,2023-02-19 00:00:00+00:00
25,"товарищам, дорогие друзья, приобрели, ребята, нашей армии",23,2023-02-19 00:00:00+00:00
26,"армения, пашиняна, армении, давление россию, ситуация",2,2023-02-19 00:00:00+00:00
27,"си цзиньпином, россия китай, цзиньпином, си цзиньпин, цзиньпин",60,2023-02-19 00:00:00+00:00
28,"министра, премьер министр, министр, отставки, министра обороны",1,2023-02-19 00:00:00+00:00
29,"посетил, глава государства, совещание, правительству, рассмотреть",2,2023-02-19 00:00:00+00:00
30,"нежелательной, антироссийской, террористической организацией, коррупцией, российской федерации",4,2023-02-19 00:00:00+00:00
33,"санкций, резолюцию, резолюции, санкции, россии заявил",2,2023-02-19 00:00:00+00:00
34,"продление, продлении, российской стороны, продления, зерновой сделки",22,2023-02-19 00:00:00+00:00
35,"военная операция, россией, военным, цели будут, спецоперация",3,2023-02-19 00:00:00+00:00
36,"секретаря россии, россии подписал, секретаря рф, назначен, назначил",3,2023-02-19 00:00:00+00:00
37,"сотрудникам, телефоны, пресс секретаря, своих сотрудников, безопасности",4,2023-02-19 00:00:00+00:00
38,"санкции отношении, санкции против, санкции, пакет санкций, санкций",10,2023-02-19 00:00:00+00:00
42,"заблокировали, блокировки, заблокированы, ограничения, заблокировал",1,2023-02-19 00:00:00+00:00
44,"проинформировал, сообщил дмитрий, беспилотников, ситуации вокруг, доложили",4,2023-02-19 00:00:00+00:00
48,"русофобии, русофобы, русский язык, русофобия, русский",1,2023-02-19 00:00:00+00:00
50,"завтра, встретится, южной осетии, обсудят, анонсировал",1,2023-02-19 00:00:00+00:00
51,"беспилотных, вооруженных сил, противовоздушной обороны, уничтожены, военной операции",4,2023-02-19 00:00:00+00:00
54,"украина new_militarycolumnist, переговоры россией, украину, украинцев, мирные переговоры",2,2023-02-19 00:00:00+00:00
56,"российский лидер, сирия, сирии, сирийской, переговоры рф",4,2023-02-19 00:00:00+00:00
57,"военкоры, героев, защитникам, выступят, время героев",3,2023-02-19 00:00:00+00:00
59,"проведет переговоры, дипломатические, переговоры, продолжаются, высшем уровне",1,2023-02-19 00:00:00+00:00
60,"youtube, заблокировал, заблокировать, прокуратуры, заблокирован",5,2023-02-19 00:00:00+00:00
62,"спецслужбами, лет лишения, убийства, лишения свободы, преступления",1,2023-02-19 00:00:00+00:00
63,"эрдоган, турцией, турцию, истребителей, турецких",2,2023-02-19 00:00:00+00:00
65,"мониторинга, поручил, необходимую помощь, займется, организовать",1,2023-02-19 00:00:00+00:00
66,"антироссийских, антироссийские, оппозиционеров, активисты, митинги",5,2023-02-19 00:00:00+00:00
69,"ядерное оружие, ядерного оружия, вооружений, ядерных, ядерное",1,2023-02-19 00:00:00+00:00
70,"эфире, соловьёв live, экспертов, соловьёвlive, соловьев live",1,2023-02-19 00:00:00+00:00
71,"коррупцию, заявил премьер, премьер министр, коррупции, повышение эффективности",1,2023-02-19 00:00:00+00:00
72,"мигрантов, мечети, религия, мусульман, русских",2,2023-02-19 00:00:00+00:00
80,"агрессию против, польша, польши, агрессию, поляки",2,2023-02-19 00:00:00+00:00
81,"проверки, ведомства, министерств, министр, ведомство",2,2023-02-19 00:00:00+00:00
83,"сербия, сербии, давить, отставки, протесты",3,2023-02-19 00:00:00+00:00
89,"обращается, подробнее сайте, обращение, сайте, федеральному собранию",1,2023-02-19 00:00:00+00:00
90,"цифровые, судебные, электронной, судебное, министр цифрового",1,2023-02-19 00:00:00+00:00
97,"уровень доверия, доверия, доверяют, доверии, опрошенных",2,2023-02-19 00:00:00+00:00
98,"отношений россии, отношения россии, российско американских, отношений рф, диалог",1,2023-02-19 00:00:00+00:00
100,"грузию, грузия, грузии, власти, госдеп",9,2023-02-19 00:00:00+00:00
105,"дал интервью, журналисту, свобода слова, журналиста, такера карлсона",1,2023-02-19 00:00:00+00:00
108,"никакой, никаких, никак, россии сообщили, дискредитацию",5,2023-02-19 00:00:00+00:00
110,"обучение, героев, обучения, ветераны, военнослужащих",1,2023-02-19 00:00:00+00:00
111,"прокуратуру, россии необходимо, прокуратуры, заявления россии, россии заседании",7,2023-02-19 00:00:00+00:00
113,"провел совещание, силовиков, меры безопасности, абхазии, силовых структур",2,2023-02-19 00:00:00+00:00
116,"северный поток, северного потока, диверсии, северных потоков, терактов",9,2023-02-19 00:00:00+00:00
-1,"внешней политики, власти, россию, обороны, запада",814,2023-03-21 00:00:00+00:00
0,"украинские войска, украинских войск, спецоперация, украинских, российские войска",83,2023-03-21 00:00:00+00:00
1,"совещание, брифинга, совещание членами, ситуация, политики россии",60,2023-03-21 00:00:00+00:00
2,"дмитрий заявил, нужно, угроза, вооружения, оружия украину",57,2023-03-21 00:00:00+00:00
3,"минобороны, подписал распоряжение, завода, министр михаил, производства",66,2023-03-21 00:00:00+00:00
4,"twitter, telegram россии, заблокирован, интернет, блокировок",3,2023-03-21 00:00:00+00:00
5,"запретят, законопроект, госдумы вячеслав, запретить, госдуму",28,2023-03-21 00:00:00+00:00
6,"поддержки участников, ветеранам, защитники отечества, ветеранов, ветеранами",30,2023-03-21 00:00:00+00:00
7,"поздравили, поздравление, поздравил, поздравляю, россии подчеркнул",11,2023-03-21 00:00:00+00:00
8,"переговорах, переговоров, переговоры, договорились, обсудили",1,2023-03-21 00:00:00+00:00
9,"глава ведомства, разъяснил, ведомства, отсрочки, информполитике",13,2023-03-21 00:00:00+00:00
10,"мигрантами, мигрантов, мигранты, мечети, мигрантам",1,2023-03-21 00:00:00+00:00
11,"поговорил, провел телефонный, обсудил, эрдоган, эрдоганом",4,2023-03-21 00:00:00+00:00
12,"заявил секретарь, секретаря рф, секретарь рф, безопасности россии, угрозы",27,2023-03-21 00:00:00+00:00
13,"уголовное дело, незаконном, проверке, судебной, крупного",3,2023-03-21 00:00:00+00:00
14,"провести проверку, билетов, артистов, билеты, проверить",14,2023-03-21 00:00:00+00:00
15,"появилась информация, израиле, израиль, протестуют, израиля",5,2023-03-21 00:00:00+00:00
17,"переговоры рф, переговорах украиной, переговоров украиной, переговоров украине, переговорам",9,2023-03-21 00:00:00+00:00
19,"нашем канале, наш канал, каналов, каналу, подписчиков",2,2023-03-21 00:00:00+00:00
20,"готова, совет федерации, полностью, совета федерации, подчеркнула",2,2023-03-21 00:00:00+00:00
21,"цветы, церемонию, солдата, возложил, могиле",6,2023-03-21 00:00:00+00:00
22,"молдавии, румынии, конституцию, угрозе, скандал",4,2023-03-21 00:00:00+00:00
23,"ранения, пострадавших, обстрелов, обстрела, ранен",4,2023-03-21 00:00:00+00:00
24,"армию, призыве, армия, военную службу, военную",9,2023-03-21 00:00:00+00:00
25,"наших солдат, нашей армии, дорогие друзья, доставили, благодарность",9,2023-03-21 00:00:00+00:00
26,"русофобия, армении, армения, российское руководство, российского руководства",1,2023-03-21 00:00:00+00:00
27,"си цзиньпином, россия китай, цзиньпином, россии китая, си цзиньпин",36,2023-03-21 00:00:00+00:00
29,"россии поручил, поручения, поручил, путей, инфраструктуру",5,2023-03-21 00:00:00+00:00
33,"российская сторона, россия является, россии ходе, россию, евросоюз",12,2023-03-21 00:00:00+00:00
34,"зерновой сделки, санкций, российская сторона, украинского зерна, зерновой",5,2023-03-21 00:00:00+00:00
35,"единственным, военная операция, специальная военная, специальной военной, спецоперация",1,2023-03-21 00:00:00+00:00
37,"чиновников, срок, apple, отключение, ограничений",1,2023-03-21 00:00:00+00:00
38,"санкции против, новые санкции, санкции, санкций, санкциях",2,2023-03-21 00:00:00+00:00
40,"украинские власти, мобилизации, украинцев, мобилизация, власти",4,2023-03-21 00:00:00+00:00
43,"белоруссия, ядерное оружие, вооружении, ядерного оружия, вооруженных",10,2023-03-21 00:00:00+00:00
45,"задержать, задержаны, задержанных, русских, убийстве",4,2023-03-21 00:00:00+00:00
46,"новых регионов, регионов рф, россии новых, регионов, рф будут",1,2023-03-21 00:00:00+00:00
47,"си цзиньпином, цзиньпином, россия китай, цзиньпин, си цзиньпин",33,2023-03-21 00:00:00+00:00
48,"усилить контроль, санкциями, казахстана, казахстан, границе",1,2023-03-21 00:00:00+00:00
50,"лукашенко, александр лукашенко, александра лукашенко, россии белоруссии, встреча",6,2023-03-21 00:00:00+00:00
54,"украина new_militarycolumnist, конфликта украине, украину, украинские, украина",3,2023-03-21 00:00:00+00:00
58,"нефти, правительство россии, топливо, нефтепродуктов, россией",3,2023-03-21 00:00:00+00:00
60,"youtube, цензуры, ютуб, заблокирован, подписчиков",3,2023-03-21 00:00:00+00:00
62,"российских военнослужащих, уголовным, донецке, уголовных, обстрелы",1,2023-03-21 00:00:00+00:00
66,"пророссийских, фейки, спецслужб, якобы, агентов",5,2023-03-21 00:00:00+00:00
69,"ядерное оружие, ядерное, россия готова, применения ядерного, ядерного оружия",1,2023-03-21 00:00:00+00:00
70,"эфире, соловьёв live, соловьев live, соловьёвlive, экспертов",1,2023-03-21 00:00:00+00:00
71,"украине, экономике, украины, украинцев, экономики",1,2023-03-21 00:00:00+00:00
76,"пашиняна, надеемся, надеется, сторонами, признает",1,2023-03-21 00:00:00+00:00
81,"военную службу, штраф, штрафы, рекламу, рекламе",1,2023-03-21 00:00:00+00:00
89,"готовы, полная, начнётся, всё, прийти",1,2023-03-21 00:00:00+00:00
90,"смогут получить, смогут, подписывать, это сделать, обещают",3,2023-03-21 00:00:00+00:00
94,"google, русофобию, штрафа, youtube, штрафы",2,2023-03-21 00:00:00+00:00
95,"песни, песню, вернуться, домой, русский народ",1,2023-03-21 00:00:00+00:00
98,"российско американских, россии сша, отношения россии, отреагировали, это заявление",1,2023-03-21 00:00:00+00:00
99,"квартире, кремлёвского, кремлёвского пула, квартиру, квартира",2,2023-03-21 00:00:00+00:00
100,"грузию, грузии, грузия, фронта, опасность",1,2023-03-21 00:00:00+00:00
103,"заместителя министра, заместителем министра, замминистра, заместителя, министра",1,2023-03-21 00:00:00+00:00
108,"молчать, моратория, никаких, никакой, россии сообщили",2,2023-03-21 00:00:00+00:00
116,"северный поток, подрыва, северных потоков, украинскую сторону, следует",2,2023-03-21 00:00:00+00:00
118,"новое правительство, нового правительства, отставку, отставке, правительство",1,2023-03-21 00:00:00+00:00
-1,"человек, взрыва, сказать, беспилотников, людей",1093,2023-04-20 00:00:00+00:00
0,"атаковали, дронов, беспилотников, дрон, беспилотники",163,2023-04-20 00:00:00+00:00
1,"заявления дмитрия, комментирует, санкций, совещание, рф считает",76,2023-04-20 00:00:00+00:00
2,"ядерное оружие, ядерное, дмитрий прокомментировал, ядерного оружия, зампред россии",31,2023-04-20 00:00:00+00:00
3,"премьер министр, оборонно, оборонно промышленного, министр михаил, министр",40,2023-04-20 00:00:00+00:00
4,"телеграм каналов, телеграм, telegram, telegram россии, телеграма",2,2023-04-20 00:00:00+00:00
5,"спикер госдумы, заявил спикер, безопасности российской, угрозу безопасности, террористический",17,2023-04-20 00:00:00+00:00
6,"ветеранов сво, ветеранам, ветеранов, ветеранами, защитники отечества",17,2023-04-20 00:00:00+00:00
7,"командиром, сил россии, героев, героя россии, награждены",5,2023-04-20 00:00:00+00:00
9,"информационной безопасности, информполитике, анонимности, законопроекте, технологиям связи",5,2023-04-20 00:00:00+00:00
10,"мигрантов, мигранты, мигрантам, спикеров, миграционной",6,2023-04-20 00:00:00+00:00
11,"провел телефонный, поговорил, телефонный разговор, ходе переговоров, поздравил",9,2023-04-20 00:00:00+00:00
12,"разведка, террористы, вооружений, заявил секретарь, украину",20,2023-04-20 00:00:00+00:00
13,"олигарха, подозревают, украли, проверке, расследование",5,2023-04-20 00:00:00+00:00
14,"товарищи, обратилось, слушали, сети появились, выступать",8,2023-04-20 00:00:00+00:00
16,"обеда, телеканале россия, москва телеканале, покажет, программе москва",1,2023-04-20 00:00:00+00:00
17,"переговоров россии, отсутствуют, россию, россией, россиянам",3,2023-04-20 00:00:00+00:00
18,"собор, посетил, святой, храм, храма",1,2023-04-20 00:00:00+00:00
19,"подписывайтесь, подписчиков, телеграм канал, читателей, пишите",4,2023-04-20 00:00:00+00:00
20,"блогеров, словами, семьям, народом, предлагаю",4,2023-04-20 00:00:00+00:00
21,"героям, годовщины победы, ветераны, движения ветераны, ветераны россии",8,2023-04-20 00:00:00+00:00
22,"молдавии, власти, протеста, правящая, правящей",4,2023-04-20 00:00:00+00:00
23,"обстрелов, обстрелы, обстрела, обстрел, донецк",1,2023-04-20 00:00:00+00:00
24,"сил россии, вооруженных сил, 117, контрактников, силы россии",13,2023-04-20 00:00:00+00:00
25,"разведке, дроны, передали, фронту, дорогие друзья",7,2023-04-20 00:00:00+00:00
26,"армению, армения, армении, пашиняна, властей",7,2023-04-20 00:00:00+00:00
29,"поручений, поручения, поручил, принять меры, правительству",11,2023-04-20 00:00:00+00:00
31,"блогеров, блогер, ботов, соцсетях, аккаунты",2,2023-04-20 00:00:00+00:00
32,"кремлём, беспилотника, беспилотников, беспилотниками, покушение",163,2023-04-20 00:00:00+00:00
33,"резолюцию, совета безопасности, совете безопасности, международного сообщества, резолюции",3,2023-04-20 00:00:00+00:00
34,"зерновой сделки, продление, продлении, продления, продлить",31,2023-04-20 00:00:00+00:00
35,"операции украине, демилитаризации украины, военная операция, спецоперация, интервью телеканалу",1,2023-04-20 00:00:00+00:00
38,"новые санкции, антироссийские санкции, санкциями, санкций против, санкции против",3,2023-04-20 00:00:00+00:00
40,"мобилизацию, мобилизации, законопроект который, мобилизация, мобилизовать",3,2023-04-20 00:00:00+00:00
43,"национальной безопасности, серьёзное, угроз, серьёзные, происходят",3,2023-04-20 00:00:00+00:00
44,"проинформировал, ситуации вокруг, получает, сообщил дмитрий, региональных властей",1,2023-04-20 00:00:00+00:00
45,"беспредел, задержали, бандитов, правоохранителей, тревогу",2,2023-04-20 00:00:00+00:00
47,"россия китай, си цзиньпином, цзиньпином, китай, китаем",6,2023-04-20 00:00:00+00:00
50,"александр лукашенко, лукашенко, прибыл, приедет, россии белоруссии",1,2023-04-20 00:00:00+00:00
51,"вооруженных сил, беспилотных, противовоздушной обороны, обороны российской, уничтожены",9,2023-04-20 00:00:00+00:00
53,"российскую нефть, цен нефть, российской нефти, экспорта, цены нефть",1,2023-04-20 00:00:00+00:00
54,"заявил киев, стол переговоров, переговоров, украина new_militarycolumnist, украину",2,2023-04-20 00:00:00+00:00
57,"русских солдат, бойцов, боевиков, снимает, фильм",2,2023-04-20 00:00:00+00:00
63,"эрдоган, турцией, турцию, кремлём, турки",6,2023-04-20 00:00:00+00:00
65,"угрозах, обстановку, ситуации, доложили, губернатор",1,2023-04-20 00:00:00+00:00
66,"фейки, укронацистов, интернет, российских, ненависти",6,2023-04-20 00:00:00+00:00
70,"трансляцию, вещает, live, вещание, эфир",3,2023-04-20 00:00:00+00:00
76,"уважением, турции, турецкого, выборами, выборах",2,2023-04-20 00:00:00+00:00
78,"санкций, санкциями, санкционных, санкции, санкций отношении",2,2023-04-20 00:00:00+00:00
79,"русофобию, youtube, ютуб, русских, смотреть",1,2023-04-20 00:00:00+00:00
82,"воевал, служил, сына, россии рассказал, сын",64,2023-04-20 00:00:00+00:00
90,"министр цифрового, военнослужащего, призыву, министр обороны, минобороны",5,2023-04-20 00:00:00+00:00
95,"праздником, родиной, героями, россия это, наших бойцов",3,2023-04-20 00:00:00+00:00
96,"защитникам, ветераны, военнослужащих, меры поддержки, ветеранов",1,2023-04-20 00:00:00+00:00
